TRANSACTION_ID,TRANSACTION_DATE,STORE_NAME,CITY,PRODUCT_NAME,CATEGORY_DESC,GRAIN,UNIT_PRICE,ITEM_TOTAL_PRICE
TRX-SuperIndoSunter-000001,2024-04-14,Super Indo Sunter,Jakarta Utara,Diamond UHT Cho 1L,Dairy,245,21990.0,5387550.0
TRX-SuperIndoSunter-000001,2024-04-14,Super Indo Sunter,Jakarta Utara,Energen Vanilla 10,Beverages,546,22790.0,12443340.0
TRX-SuperIndoSunter-000002,2024-04-12,Super Indo Sunter,Jakarta Utara,Wortel Berastagi,Vegetables,243,103.0,25029.0
TRX-SuperIndoSunter-000002,2024-04-12,Super Indo Sunter,Jakarta Utara,Energen Vanilla 10,Beverages,229,22790.0,5218910.0
TRX-SuperIndoSunter-000002,2024-04-12,Super Indo Sunter,Jakarta Utara,Telur Ayam Negeri,Eggs,640,269.5,172480.0
TRX-SuperIndoSunter-000003,2024-07-11,Super Indo Sunter,Jakarta Utara,Energen Vanilla 10,Beverages,118,22790.0,2689220.0
TRX-SuperIndoSunter-000003,2024-07-11,Super Indo Sunter,Jakarta Utara,Wortel Berastagi,Vegetables,800,103.0,82400.0
TRX-SuperIndoSunter-000003,2024-07-11,Super Indo Sunter,Jakarta Utara,Energen Vanilla 10,Beverages,200,22790.0,4558000.0
TRX-SuperIndoSunter-000003,2024-07-11,Super Indo Sunter,Jakarta Utara,Dada Ayam Fillet,Meat,68,749.0,50932.0
TRX-SuperIndoSunter-000003,2024-07-11,Super Indo Sunter,Jakarta Utara,Jamur ENOKIDK100,Vegetables,10,5990.0,59900.0
TRX-SuperIndoSunter-000004,2024-11-06,Super Indo Sunter,Jakarta Utara,Wortel Berastagi,Vegetables,33,103.0,3399.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Saori Saus Tiram,Condiment,115,12390.0,1424850.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,RTE Nasi Ayam Geprek,Ready-to-Eat,238,16450.0,3915100.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Buah Naga Merah,Fruits,369,349.0,128781.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,PRB Superior 150ml,Beverages,730,17950.0,13103500.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Sedaap M/G A/Kris,Seasoning,872,3100.0,2703200.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Kanzler Sngls Keju,Snacks,950,8690.0,8255500.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,La Fonte Macaroni,Pasta,303,8990.0,2723970.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Telur Ayam Negeri,Eggs,98,269.5,26411.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,K/G Malkist Aroni,Snacks,366,8990.0,3290340.0
TRX-SuperIndoSunter-000005,2024-04-21,Super Indo Sunter,Jakarta Utara,Sedaap M/G A/Kris,Seasoning,416,3100.0,1289600.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,RTE Nasi Ayam Geprek,Ready-to-Eat,124,16450.0,2039800.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,Jamur ENOKIDK100,Vegetables,752,5990.0,4504480.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,Dada Ayam Fillet,Meat,11,749.0,8239.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,Sedaap M/G A/Kris,Seasoning,410,3100.0,1271000.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,PRB Superior 150ml,Beverages,706,17950.0,12672700.0
TRX-SuperIndoSunter-000006,2024-06-17,Super Indo Sunter,Jakarta Utara,Sedaap M/G A/Kris,Seasoning,160,3100.0,496000.0
