TRANSACTION_ID,SITE_ID,PRODUCT_KEY,TRANSACTION_DATE,GRAIN,TOTAL_PRICE
TRX-621863,SI004,3,20240614,65,1429350.0
TRX-470898,SI005,7,20241120,89,9167.0
TRX-966870,SI002,6,20240424,48,861600.0
TRX-383083,SI005,3,20240214,67,1473330.0
TRX-836087,SI007,4,20240918,41,368590.0
TRX-595436,SI005,3,20241028,63,1385370.0
TRX-249665,SI006,3,20240612,35,769650.0
TRX-795006,SI002,2,20240604,86,2063140.0
TRX-710776,SI004,15,20240613,35,12215.0
TRX-595929,SI006,12,20241101,22,131780.0
TRX-120263,SI001,7,20241014,57,5871.0
TRX-209712,SI002,15,20240304,28,9772.0
TRX-496859,SI010,16,20240307,11,2964.5
TRX-975063,SI006,14,20240304,3,37170.0
TRX-861745,SI002,9,20240504,84,1914360.0
TRX-781895,SI005,16,20240226,85,22907.5
TRX-184445,SI004,4,20240426,99,890010.0
TRX-893476,SI005,8,20231123,31,278690.0
TRX-601219,SI006,12,20240625,91,545090.0
TRX-862461,SI003,3,20241015,24,527760.0
TRX-992349,SI008,16,20240324,75,20212.5
TRX-696829,SI004,5,20240522,67,1102150.0
TRX-368824,SI003,16,20240116,49,13205.5
TRX-996604,SI001,10,20240521,52,161200.0
TRX-245220,SI009,11,20240622,27,647730.0
TRX-104936,SI007,1,20240811,29,3103.0
TRX-588358,SI003,13,20240701,61,45689.0
TRX-211394,SI005,12,20240511,46,275540.0
TRX-137872,SI005,11,20240701,43,1031570.0
TRX-792152,SI009,8,20240806,19,170810.0
TRX-194592,SI005,5,20240522,57,937650.0
TRX-204818,SI006,9,20240814,53,1207870.0
TRX-783460,SI010,5,20240826,25,411250.0
TRX-597808,SI006,11,20240515,57,1367430.0
TRX-870888,SI001,9,20231216,97,2210630.0
TRX-818388,SI001,11,20240701,79,1895210.0
TRX-425147,SI004,5,20240704,54,888300.0
TRX-210435,SI007,15,20240428,80,27920.0
TRX-433963,SI004,10,20240130,49,151900.0
TRX-286787,SI003,6,20240808,11,197450.0
TRX-249369,SI002,13,20231212,95,71155.0
TRX-493748,SI004,13,20240828,50,37450.0
TRX-753342,SI002,8,20241009,6,53940.0
TRX-690695,SI004,13,20240817,65,48685.0
TRX-627837,SI003,17,20231126,40,347600.0
TRX-378747,SI008,4,20240420,67,602330.0
TRX-668085,SI007,15,20240405,47,16403.0
TRX-521180,SI009,4,20231127,13,116870.0
TRX-266011,SI008,8,20241002,86,773140.0
TRX-345614,SI003,12,20240524,12,71880.0
TRX-764203,SI004,2,20240810,77,1847230.0
